pxd,AnnotationType,precision,recall,f1,jacc
PXD004010,Comment[FragmentationMethod],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Modification].4,1.0,1.0,1.0,1.0
PXD004010,Characteristics[DevelopmentalStage],1.0,1.0,1.0,1.0
PXD004010,Characteristics[BMI],1.0,1.0,1.0,1.0
PXD004010,FactorValue[Compound],1.0,1.0,1.0,1.0
PXD004010,Comment[IonizationType],1.0,1.0,1.0,1.0
PXD004010,Characteristics[CellLine],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Compound],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Genotype],1.0,1.0,1.0,1.0
PXD004010,Characteristics[ReductionReagent],1.0,1.0,1.0,1.0
PXD004010,Comment[GradientTime],0.0,0.0,0.0,0.0
PXD004010,Comment[AcquisitionMethod],0.0,0.0,0.0,0.0
PXD004010,Comment[Instrument],0.0,0.0,0.0,0.0
PXD004010,Characteristics[TumorSize],1.0,1.0,1.0,1.0
PXD004010,FactorValue[ConcentrationOfCompound].1,1.0,1.0,1.0,1.0
PXD004010,Characteristics[SpikedCompound],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Disease],0.0,0.0,0.0,0.0
PXD004010,Characteristics[Organism],0.0,0.0,0.0,0.0
PXD004010,Characteristics[NumberOfBiologicalReplicates],1.0,1.0,1.0,1.0
PXD004010,FactorValue[Disease],1.0,1.0,1.0,1.0
PXD004010,Characteristics[OriginSiteDisease],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Modification].6,1.0,1.0,1.0,1.0
PXD004010,FactorValue[FractionIdentifier],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Bait],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Modification].2,1.0,1.0,1.0,1.0
PXD004010,Comment[FractionationMethod],0.0,0.0,0.0,0.0
PXD004010,Characteristics[CellType],1.0,1.0,1.0,1.0
PXD004010,Comment[Separation],0.0,0.0,0.0,0.0
PXD004010,Characteristics[SamplingTime],1.0,1.0,1.0,1.0
PXD004010,Characteristics[TumorSite],1.0,1.0,1.0,1.0
PXD004010,Characteristics[AlkylationReagent],1.0,1.0,1.0,1.0
PXD004010,Characteristics[PooledSample],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Staining],1.0,1.0,1.0,1.0
PXD004010,Comment[PrecursorMassTolerance],1.0,1.0,1.0,1.0
PXD004010,Characteristics[OrganismPart],0.0,0.0,0.0,0.0
PXD004010,Characteristics[TumorGrade],1.0,1.0,1.0,1.0
PXD004010,Comment[NumberOfFractions],0.0,0.0,0.0,0.0
PXD004010,Comment[NumberOfMissedCleavages],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Modification].1,0.0,0.0,0.0,0.0
PXD004010,Characteristics[Strain],1.0,1.0,1.0,1.0
PXD004010,Characteristics[TumorCellularity],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Specimen],0.0,0.0,0.0,0.0
PXD004010,Characteristics[Modification].5,1.0,1.0,1.0,1.0
PXD004010,Comment[CollisionEnergy],1.0,1.0,1.0,1.0
PXD004010,FactorValue[CellPart],1.0,1.0,1.0,1.0
PXD064564,Characteristics[NumberOfTechnicalReplicates],0.0,0.0,0.0,0.0
PXD064564,Characteristics[GrowthRate],1.0,1.0,1.0,1.0
PXD064564,Characteristics[BiologicalReplicate],0.0,0.0,0.0,0.0
PXD064564,Characteristics[SyntheticPeptide],1.0,1.0,1.0,1.0
PXD064564,Characteristics[GeneticModification],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Modification].3,1.0,1.0,1.0,1.0
PXD064564,Characteristics[AncestryCategory],1.0,1.0,1.0,1.0
PXD064564,Comment[EnrichmentMethod],1.0,1.0,1.0,1.0
PXD064564,FactorValue[Bait],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Modification],1.0,1.0,1.0,1.0
PXD064564,Characteristics[TumorStage],1.0,1.0,1.0,1.0
PXD064564,FactorValue[GeneticModification],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Sex],1.0,1.0,1.0,1.0
PXD064564,Characteristics[MaterialType],0.0,0.0,0.0,0.0
PXD064564,FactorValue[Temperature],1.0,1.0,1.0,1.0
PXD064564,Comment[FragmentMassTolerance],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Treatment],0.0,0.0,0.0,0.0
PXD064564,Comment[FlowRateChromatogram],0.0,0.0,0.0,0.0
PXD064564,FactorValue[Treatment],1.0,1.0,1.0,1.0
PXD064564,Characteristics[CleavageAgent],0.0,0.0,0.0,0.0
PXD064564,Characteristics[ConcentrationOfCompound],1.0,1.0,1.0,1.0
PXD064564,Characteristics[NumberOfSamples],1.0,1.0,1.0,1.0
PXD064564,PXD,1.0,1.0,1.0,1.0
PXD064564,Characteristics[Time],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Label],0.0,0.0,0.0,0.0
PXD064564,Characteristics[Age],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Depletion],1.0,1.0,1.0,1.0
PXD064564,Characteristics[DiseaseTreatment],1.0,1.0,1.0,1.0
PXD064564,Comment[FractionIdentifier],0.0,0.0,0.0,0.0
PXD064564,Raw Data File,1.0,1.0,1.0,1.0
PXD064564,Comment[MS2MassAnalyzer],1.0,1.0,1.0,1.0
PXD064564,Characteristics[AnatomicSiteTumor],1.0,1.0,1.0,1.0
PXD064564,Characteristics[CellPart],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Temperature],0.0,0.0,0.0,0.0
PXD064564,Comment[FragmentationMethod],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Modification].4,1.0,1.0,1.0,1.0
PXD064564,Characteristics[DevelopmentalStage],1.0,1.0,1.0,1.0
PXD064564,Characteristics[BMI],1.0,1.0,1.0,1.0
PXD064564,FactorValue[Compound],1.0,1.0,1.0,1.0
PXD064564,Comment[IonizationType],0.0,0.0,0.0,0.0
PXD064564,Characteristics[CellLine],0.0,0.0,0.0,0.0
PXD064564,Characteristics[Compound],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Genotype],1.0,1.0,1.0,1.0
PXD064564,Characteristics[ReductionReagent],1.0,1.0,1.0,1.0
PXD064564,Comment[GradientTime],0.0,0.0,0.0,0.0
PXD064564,Comment[AcquisitionMethod],0.0,0.0,0.0,0.0
PXD064564,Comment[Instrument],0.0,0.0,0.0,0.0
PXD064564,Characteristics[TumorSize],1.0,1.0,1.0,1.0
PXD064564,FactorValue[ConcentrationOfCompound].1,1.0,1.0,1.0,1.0
PXD064564,Characteristics[SpikedCompound],0.0,0.0,0.0,0.0
PXD064564,Characteristics[Disease],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Organism],0.0,0.0,0.0,0.0
PXD064564,Characteristics[NumberOfBiologicalReplicates],0.0,0.0,0.0,0.0
PXD064564,FactorValue[Disease],1.0,1.0,1.0,1.0
PXD064564,Characteristics[OriginSiteDisease],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Modification].6,1.0,1.0,1.0,1.0
PXD064564,FactorValue[FractionIdentifier],0.0,0.0,0.0,0.0
PXD064564,Characteristics[Bait],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Modification].2,1.0,1.0,1.0,1.0
PXD064564,Comment[FractionationMethod],0.0,0.0,0.0,0.0
PXD064564,Characteristics[CellType],1.0,1.0,1.0,1.0
PXD064564,Comment[Separation],0.0,0.0,0.0,0.0
PXD064564,Characteristics[SamplingTime],1.0,1.0,1.0,1.0
PXD064564,Characteristics[TumorSite],1.0,1.0,1.0,1.0
PXD064564,Characteristics[AlkylationReagent],1.0,1.0,1.0,1.0
PXD064564,Characteristics[PooledSample],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Staining],1.0,1.0,1.0,1.0
PXD064564,Comment[PrecursorMassTolerance],1.0,1.0,1.0,1.0
PXD064564,Characteristics[OrganismPart],1.0,1.0,1.0,1.0
PXD064564,Characteristics[TumorGrade],1.0,1.0,1.0,1.0
PXD064564,Comment[NumberOfFractions],1.0,1.0,1.0,1.0
PXD064564,Comment[NumberOfMissedCleavages],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Modification].1,1.0,1.0,1.0,1.0
PXD064564,Characteristics[Strain],1.0,1.0,1.0,1.0
PXD064564,Characteristics[TumorCellularity],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Specimen],1.0,1.0,1.0,1.0
PXD064564,Characteristics[Modification].5,1.0,1.0,1.0,1.0
PXD064564,Comment[CollisionEnergy],1.0,1.0,1.0,1.0
PXD064564,FactorValue[CellPart],1.0,1.0,1.0,1.0
PXD061090,Characteristics[NumberOfTechnicalReplicates],0.0,0.0,0.0,0.0
PXD061090,Characteristics[GrowthRate],1.0,1.0,1.0,1.0
PXD061090,Characteristics[BiologicalReplicate],0.0,0.0,0.0,0.0
PXD061090,Characteristics[SyntheticPeptide],1.0,1.0,1.0,1.0
PXD061090,Characteristics[GeneticModification],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Modification].3,1.0,1.0,1.0,1.0
PXD061090,Characteristics[AncestryCategory],1.0,1.0,1.0,1.0
PXD061090,Comment[EnrichmentMethod],0.0,0.0,0.0,0.0
PXD061090,FactorValue[Bait],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Modification],1.0,1.0,1.0,1.0
PXD061090,Characteristics[TumorStage],1.0,1.0,1.0,1.0
PXD061090,FactorValue[GeneticModification],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Sex],0.0,0.0,0.0,0.0
PXD061090,Characteristics[MaterialType],0.0,0.0,0.0,0.0
PXD061090,FactorValue[Temperature],1.0,1.0,1.0,1.0
PXD061090,Comment[FragmentMassTolerance],0.0,0.0,0.0,0.0
PXD061090,Characteristics[Treatment],0.0,0.0,0.0,0.0
PXD061090,Comment[FlowRateChromatogram],0.0,0.0,0.0,0.0
PXD061090,FactorValue[Treatment],0.0,0.0,0.0,0.0
PXD061090,Characteristics[CleavageAgent],0.0,0.0,0.0,0.0
PXD061090,Characteristics[ConcentrationOfCompound],1.0,1.0,1.0,1.0
PXD061090,Characteristics[NumberOfSamples],0.0,0.0,0.0,0.0
PXD061090,PXD,1.0,1.0,1.0,1.0
PXD061090,Characteristics[Time],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Label],0.0,0.0,0.0,0.0
PXD061090,Characteristics[Age],0.0,0.0,0.0,0.0
PXD061090,Characteristics[Depletion],1.0,1.0,1.0,1.0
PXD061090,Characteristics[DiseaseTreatment],0.0,0.0,0.0,0.0
PXD061090,Comment[FractionIdentifier],0.0,0.0,0.0,0.0
PXD061090,Raw Data File,1.0,1.0,1.0,1.0
PXD061090,Comment[MS2MassAnalyzer],0.0,0.0,0.0,0.0
PXD061090,Characteristics[AnatomicSiteTumor],1.0,1.0,1.0,1.0
PXD061090,Characteristics[CellPart],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Temperature],1.0,1.0,1.0,1.0
PXD061090,Comment[FragmentationMethod],0.0,0.0,0.0,0.0
PXD061090,Characteristics[Modification].4,1.0,1.0,1.0,1.0
PXD061090,Characteristics[DevelopmentalStage],1.0,1.0,1.0,1.0
PXD061090,Characteristics[BMI],1.0,1.0,1.0,1.0
PXD061090,FactorValue[Compound],1.0,1.0,1.0,1.0
PXD061090,Comment[IonizationType],0.0,0.0,0.0,0.0
PXD061090,Characteristics[CellLine],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Compound],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Genotype],1.0,1.0,1.0,1.0
PXD061090,Characteristics[ReductionReagent],0.0,0.0,0.0,0.0
PXD061090,Comment[GradientTime],0.0,0.0,0.0,0.0
PXD061090,Comment[AcquisitionMethod],0.0,0.0,0.0,0.0
PXD061090,Comment[Instrument],0.0,0.0,0.0,0.0
PXD061090,Characteristics[TumorSize],1.0,1.0,1.0,1.0
PXD061090,FactorValue[ConcentrationOfCompound].1,1.0,1.0,1.0,1.0
PXD061090,Characteristics[SpikedCompound],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Disease],0.0,0.0,0.0,0.0
PXD061090,Characteristics[Organism],0.0,0.0,0.0,0.0
PXD061090,Characteristics[NumberOfBiologicalReplicates],1.0,1.0,1.0,1.0
PXD061090,FactorValue[Disease],1.0,1.0,1.0,1.0
PXD061090,Characteristics[OriginSiteDisease],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Modification].6,1.0,1.0,1.0,1.0
PXD061090,FactorValue[FractionIdentifier],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Bait],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Modification].2,1.0,1.0,1.0,1.0
PXD061090,Comment[FractionationMethod],0.0,0.0,0.0,0.0
PXD061090,Characteristics[CellType],1.0,1.0,1.0,1.0
PXD061090,Comment[Separation],0.0,0.0,0.0,0.0
PXD061090,Characteristics[SamplingTime],1.0,1.0,1.0,1.0
PXD061090,Characteristics[TumorSite],1.0,1.0,1.0,1.0
PXD061090,Characteristics[AlkylationReagent],1.0,1.0,1.0,1.0
PXD061090,Characteristics[PooledSample],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Staining],1.0,1.0,1.0,1.0
PXD061090,Comment[PrecursorMassTolerance],0.0,0.0,0.0,0.0
PXD061090,Characteristics[OrganismPart],0.0,0.0,0.0,0.0
PXD061090,Characteristics[TumorGrade],1.0,1.0,1.0,1.0
PXD061090,Comment[NumberOfFractions],1.0,1.0,1.0,1.0
PXD061090,Comment[NumberOfMissedCleavages],0.0,0.0,0.0,0.0
PXD061090,Characteristics[Modification].1,1.0,1.0,1.0,1.0
PXD061090,Characteristics[Strain],1.0,1.0,1.0,1.0
PXD061090,Characteristics[TumorCellularity],1.0,1.0,1.0,1.0
PXD061090,Characteristics[Specimen],0.0,0.0,0.0,0.0
PXD061090,Characteristics[Modification].5,1.0,1.0,1.0,1.0
PXD061090,Comment[CollisionEnergy],1.0,1.0,1.0,1.0
PXD061090,FactorValue[CellPart],1.0,1.0,1.0,1.0
PXD050621,Characteristics[NumberOfTechnicalReplicates],1.0,1.0,1.0,1.0
PXD050621,Characteristics[GrowthRate],1.0,1.0,1.0,1.0
PXD050621,Characteristics[BiologicalReplicate],0.0,0.0,0.0,0.0
PXD050621,Characteristics[SyntheticPeptide],1.0,1.0,1.0,1.0
PXD050621,Characteristics[GeneticModification],0.0,0.0,0.0,0.0
PXD050621,Characteristics[Modification].3,1.0,1.0,1.0,1.0
PXD050621,Characteristics[AncestryCategory],1.0,1.0,1.0,1.0
PXD050621,Comment[EnrichmentMethod],1.0,1.0,1.0,1.0
